Менеджер по персоналу,ООО Объединение безопасности «Ланцелот»,от 25 000 до 30 000 руб.,Екатеринбург,3–6 лет
Фармацевт,ООО САЛЬВИЯ,от 25 000 до 25 000 руб.,Екатеринбург,1–3 года
Медицинский представитель, HiPP,от 48 000 до 48 000 руб.,Екатеринбург,1–3 года
Специалист по ВЭД," Монетка, Торговая сеть",от 30 000 до 50 000 руб.,Екатеринбург,1–3 года
Юрисконсульт (направление недвижимость),ООО Деловой Дом на Архиерейской,от 30 000 до 30 000 руб.,"Екатеринбург, ",3–6 лет
Помощник руководителя (бухгалтер), Кадровые технологии,от 25 000 до 30 000 руб.,"Екатеринбург, ",1–3 года
Frontend-разработчик в продуктовую разработку, IT-People.ru,от 40 000 до 70 000 руб.,Екатеринбург,1–3 года
Менеджер по продажам рекламы,ООО Сириус,от 25 000 до 50 000 руб.,Екатеринбург,1–3 года
Менеджер медицинских проектов,ООО САНВУТ,от 30 000 до 50 000 руб.,"Екатеринбург, ",1–3 года
Юрисконсульт, Металлокомплект-М,от 25 000 руб.,Екатеринбург,1–3 года
Бригадир монтажной бригады (слаботочные системы), Технологии кадровых решений,от 25 000 руб.,Екатеринбург,1–3 года
Специалист по подбору персонала (рекрутер), ПРОФИТ,от 25 000 руб.,Екатеринбург,1–3 года
Региональный менеджер, Деньга,от 40 000 руб.,Екатеринбург,1–3 года
Специалист по обучению контент-менеджеров," Абак-Пресс, медиахолдинг",от 23 000 до 30 000 руб.,Екатеринбург,1–3 года
Территориальный менеджер по развитию бизнеса," Ренессанс Жизнь, Страховая компания",от 40 000 руб.,Екатеринбург,1–3 года
Менеджер по персоналу (HR-generalist), Softline, з/п не указана,Екатеринбург,1–3 года
Специалист по подбору персонала," X5 RETAIL GROUP, Центральный офис",от 30 000 руб.,Екатеринбург,1–3 года
Супервайзер торговых представителей (выделенный отдел), Градиент,от 45 000 до 50 000 руб.,Екатеринбург,1–3 года
Заместитель начальника управления персоналом," МАГНИТ, Розничная сеть",от 43 000 до 51 000 руб.,Екатеринбург,1–3 года
Заместитель начальника отдела продаж,ООО Джессика-Нейл, з/п не указана,"Екатеринбург, ",1–3 года
Бизнес-тренер," Этажи, федеральная компания",от 45 000 руб.,"Екатеринбург, ",1–3 года
Специалист по кадрам,ОАО Детский Мир,от 33 000 до 33 000 руб.,Екатеринбург,3–6 лет
Тренинг-менеджер, Сетелем Банк, з/п не указана,Екатеринбург,более 6 лет
Тренер по продажам, Zenden,от 25 000 до 30 000 руб.,Екатеринбург,1–3 года
Внутренний тренер (оптовые продажи),ООО Сима-ленд, з/п не указана,Екатеринбург,1–3 года
Старший специалист (оценка системы качества),ООО БАНК НЕЙВА, з/п не указана,Екатеринбург,1–3 года
Менеджер по продажам образовательных услуг, Технологии кадровых решений,от 30 000 руб.,Екатеринбург,1–3 года
Бизнес-тренер," 585, Золотой",от 45 000 руб.,Екатеринбург,1–3 года
Супервайзер по работе с внешним персоналом, СТС Групп,от 30 000 руб.,Екатеринбург,1–3 года
