1,Алексей Голощапов
2,Виктория Володина
3,Итан Маркотт
4,Алекс Эллайн
5,Грегор Хоп
5,Бобби Вульф
6,Кристиан Нагел
6,Билл Ивьен
6,Джей Глинн
6,Карли Уотсон
6,Морган Скиннер
7,Стивен О'Брайен
8,Николас Закас
9,Стивен С. Скиена
10,Карл И. Вигерс
10,Джой Битти
12,Джозеф Албахари
12,Бен Албахари
13,Кармен Делессио
13,Лорен Дэрси
13,Шейн Кондер
14,Мэт Зандстра
15,Марк Декстер
15,Луис Лэндри
16,Герберт Шилдт
17,Саймон Паркин
18,Рето Майер
19,Андрей Александреску
21,Стефан Рэнди Дэвис
22,Владимир Шаньгин
23,Авинаш Кошик
24,Эрих Гамма
24,Ричард Хелм
24,Ральф Джонсон
24,Джон Влиссидес
25,Дональд Эрвин Кнут
26,Майкл Фриман
27,Люк Веллинг
27,Лаура Томсон
28,Майкл Фриман
29,Митио Каку
30,Эндрю Таненбаум
30,Х. Бос
31,Дэвид Флэнаган
32,Лариса Суркова
33,Стивен Кочан
34,Стенли Б. Липпман
34,Жози Лажойе
34,Барбара Э. Му
35,А. Белов
36,Дэвид Сойер Макфарланд
37,Дэвид Паттерсон
37,Джон Хеннесси
38,Стивен Фейерштейн
38,Билл Прибыл
39,Рэнди Крам
40,Роберт И. Кабаков
41,Сергей Тепляков
42,Джейсон Мак-Колм Смит
43,Генри С. Уоррен мл.
44,Рэнд Моримото
44,Майкл Ноэл
44,Гай Ярдени
44,Крис Амарис
44,Эндрю Аббат
45,Джон Уокенбах
46,Эрик Фримен
46,Элизабет Робсон
47,Джон Э. Хопкрофт
47,Раджив Мотвани
47,Джеффри Д. Ульман
48,Брюс Эккель
49,Гленфорд Майерс
49,Том Баджетт
49,Кори Сандлер
50,Джон Резиг
50,Беэр Бибо
51,Мэтью Макдональд
52,Марк Лутц
53,Стивен А. Раго
53,Уильям Ричард Стивенс
54,Прамодкумар Дж. Садаладж
54,Мартин Фаулер
55,Адам Фримен
56,Робин Никсон
57,Леса Снайдер
58,Стоян Стефанов
59,Николас Закас
60,Адам Фримен
61,Крэг Ларман
62,Йен Гриффитс
63,Рэй Брэдбери
64,Юрий Сениченков
64,Юрий Колесов
65,А. Гуреев
65,А. Харитонов
66,Р. Прокди
66,Николай Темирязев
66,Мария Финкова
67,Олег Калашников
68,Владимир Михайлов
69,Александр Бондарь
70,Лариса Маликова
70,Александр Пылькин
