1,Google Android. Создание приложений для смартфонов и планшетных ПК,ID 27256517,БХВ-Петербург,769
2,Альбом по развитию речи,ID 1632697,Росмэн-Пресс,178
3,Отзывчивый веб-дизайн,ID 8747299,"Манн, Иванов и Фербер",765
4,C++. От ламера до программера,ID 31486135,Питер,861
5,Шаблоны интеграции корпоративных приложений,ID 3083192,Вильямс,2 495
6,C# 5.0 и платформа .NET 4.5 для профессионалов,ID 24763888,Вильямс,2 134
7,Minecraft. Полное и исчерпывающее руководство,ID 30656681,Эксмо,670
8,JavaScript. Оптимизация производительности,ID 18421547,Символ-Плюс,1 350
9,Алгоритмы. Руководство по разработке,ID 6290126,БХВ-Петербург,859
10,Разработка требований к программному обеспечению,ID 27995134,БХВ-Петербург,793
11,Adobe Illustrator CS6. Официальный учебный курс (+ CD-ROM),ID 19710906,Эксмо,1 454
12,C# 5.0. Справочник. Полное описание языка,ID 19146325,Вильямс,2 197
13,Создание приложений для Android за 24 часа,ID 31245820,Эксмо,910
14,"PHP. Объекты, шаблоны и методики программирования",ID 5648968,Вильямс,1 390
15,Joomla! Программирование,ID 19902135,Вильямс,1 367
16,C# 4.0. Полное руководство,ID 5532458,Вильямс,1 746
17,Самые знаменитые компьютерные игры,ID 30656899,Эксмо,1 051
18,Android 4. Программирование приложений для планшетных компьютеров и смартфонов,ID 21469100,Эксмо,1 102
19,Современное проектирование на C++,ID 30958012,Вильямс,909
20,Adobe Photoshop CC. Официальный учебный курс (+ DVD-ROM),ID 24884265,Эксмо,1 258
21,C++ для чайников (+ CD-ROM),ID 4788484,Диалектика,547
22,Информационная безопасность и защита информации,ID 25219388,ДМК Пресс,1 175
23,Веб-аналитика 2.0 на практике. Тонкости и лучшие методики (+ CD-ROM),ID 6242106,Диалектика,1 732
24,Приемы объектно-ориентированного проектирования. Паттерны проектирования,ID 20217137,Питер,357
25,Искусство программирования. Том 3. Сортировка и поиск,ID 2527036,Вильямс,2 927
26,"Цифровая фотография. Инструменты мастера (комплект в чемоданчике: 6 книг, DVD-ROM с мастер-классом Майкла Фримана)",ID 5960945,Добрая книга,4 139
27,Разработка веб-приложений с помощью PHP и MySQL,ID 4538872,Вильямс,1 375
28,Дао цифровой фотографии. Искусство создавать удачные фотоснимки,ID 3907504,Добрая книга,1 196
29,Будущее разума,ID 30262588,Альпина нон-фикшн,471
30,"Современные операционные системы
",ID 31649356,Питер,979
31,JavaScript. Карманный справочник,ID 31100361,Вильямс,535
32,Как здорово с ребенком от 1 до 3 лет. Генератор полезных советов,ID 31383751,АСТ,205
33,Программирование на Objective-C,ID 28001113,ЭКОМ Паблишерз,1 572
34,Язык программирования C++. Базовый курс,ID 26348781,Вильямс,2 134
35,Разработка устройств на микроконтроллерах AVR (+ CD-ROM),ID 19134748,Наука и техника,657
36,Большая книга CSS3,ID 24493075,Питер,631
37,Архитектура компьютера и проектирование компьютерных систем,ID 7425447,Питер,947
38,Oracle PL/SQL. Для профессионалов,ID 30293695,Питер,1 911
39,Инфографика. Визуальное представление данных,ID 29855982,Питер,1 130
40,R в действии. Анализ и визуализация данных на языке R,ID 24938069,ДМК Пресс,1 343
41,Паттерны проектирования на платформе .NET,ID 31789305,Питер,647
42,Элементарные шаблоны проектирования,ID 19663357,Вильямс,1 367
43,Алгоритмические трюки для программистов,ID 23968713,Вильямс,1 708
44,Microsoft Exchange Server 2013. Полное руководство,ID 28142558,Вильямс,2 232
45,Формулы в Excel 2013,ID 25254633,Вильямс,2 134
46,Изучаем программирование на JavaScript,ID 31057355,Питер,828
47,"Введение в теорию автоматов, языков и вычислений",ID 31336413,Вильямс,1 396
48,Философия Java,ID 30425811,Питер,1 647
49,Искусство тестирования программ,ID 18319458,Диалектика,1 320
50,Секреты JavaScript ниндзя,ID 22421421,Вильямс,1 166
51,HTML5. Недостающее руководство,ID 18060929,БХВ-Петербург,527
52,Изучаем Python,ID 5730448,Символ-Плюс,3 820
53,UNIX. Профессиональное программирование,ID 27682947,Символ-Плюс,2 889
54,NoSQL. Новая методология разработки нереляционных баз данных,ID 29394696,Вильямс,1 046
55,ASP.NET MVC 5 с примерами на C# 5.0 для профессионалов,ID 29482313,Вильямс,1 920
56,"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",ID 30957824,Питер,1 001
57,Photoshop CS5. Практическое руководство (+ DVD-ROM),ID 6841453,Рид Групп,3 089
58,JavaScript. Шаблоны,ID 6287517,Символ-Плюс,1 801
59,JavaScript для профессиональных веб-разработчиков,ID 31257038,Питер,1 394
60,ASP.NET 4.5 с примерами на C# 5.0 для профессионалов,ID 26199321,Вильямс,2 134
61,"Применение UML 2.0 и шаблонов проектирования. Введение в объектно-ориентированный анализ, проектирование и итеративную разработку",ID 3105480,Вильямс,2 886
62,Программирование на C# 5.0,ID 26443320,Эксмо,2 818
63,Вино из одуванчиков,ID 4735869,Эксмо,143
64,                Моделирование систем. Практикум по компьютерному моделированию                ,ID 28350809,БХВ-Петербург,183
65,Photoshop CS6. Мини-курс,ID 19892979,Наука и техника,258
66,Планшет на Android для ваших родителей,ID 29324949,Наука и техника,283
67,Ассемблер — это просто. Учимся программировать (+ CD-ROM),ID 5813688,БХВ-Петербург,282
68,Android без страха для начинающих,ID 31454715,Эксмо,519
69,Microsoft SQL Server 2014,ID 31350961,БХВ-Петербург,558
70,Практический курс по электронным таблицам MS Excel,ID 1538445,Горячая Линия - Телеком,249
71,На крючке. Как создавать продукты-хиты,ID 30696453,Питер,327
72,Использование ассемблера для оптимизации программ на С++ (+ CD-ROM),ID 1708293,БХВ-Петербург,249
73,Администрирование Unix-сервера и Linux-станций,ID 6133990,Питер,237
